Titulos,contenidos,Palabras claves
    Tecnico aires acondicionados - cali  ,Reconocida compañía de tecnología,                                aires acondicionados                            
    Practicante administración de empresas  ,"Dar soporte administrativo, operativo y de investigación al Departamento que sea asignado de acuerdo con su formación profesional,  para que los procesos se ejecuten bajo los estándares y políticas del área y de la compañía.        ",                                practicante                            
    Auxiliar de archivo - bogotá  ,"Multinacional del sector salud requiere para su equipo de trabajo Auxiliar de Archivo, el objetivo principal es  verificar, inventariar, clasificar y archivar todos los documentos de la compañía de manera adecuada de acuerdo a los parámetros internos definidos. ",                                auxiliar de archivo                            
    Administrador y coadministrador  ,"Importante empresa del sector comercio requiere para su equipo de trabajo Técnicos o Tecnólogos en areas administrativas o comerciales, para desempeñar el cargo de administrador y coadministrador.",                                cajero                            
    Auxiliar administrativo y contable  ,"Empresa requiere técnico o tecnóloga en carreras administrativas o contables con mínimo 1 años de experiencia en labores administrativas, manejo de cuentas, facturas y proveedores preferiblemente en empresas del sector salud o belleza, contrato directo con la empresa salario 1.300.000        ",                                auxiliar administrativo                            
    Auxiliar contable bilingüe 1626328714.1  ,N/A ,                                Otra                            
"    Montería- psicólogo(a) clínico - social con enfoque psicodinámico, transpersonal y/o gestáltico  ","Nos encontramos para la ciudad de Montería o región (Barranquilla) , en búsqueda de Profesional en Psicología con Especialización o Maestría en Psicología Clínica o Psicología social con enfoque Psicodinámico, Transpersonal y/o Gestáltico.",                                psicológía clínica                            
    Vendedor externo  ,"Somos una empresa de fabricar materiales de Construccion, como laminas CIELO RASO DE PVC, TEJAS UPVC y policarbonato. Necesitamos vendedor externo que tenga experiencia en ventas de esta zona. El salario es salario base con comisiones. Los vendedores necesitan viajar a otras ciudades para encontrar clientes.        ",                                ventas                            
"    Practicantes administración de empresas, ing. industrial, contaduria, economia.  ","Banco Agrario se encuentra en la búsqueda de practicantes en carreras como: Administración de empresas, Contaduria, Economia, Ing. Industrial que esten disponibles para iniciar practicas inmediatamente. ",                                practicante                            
    Psicologa de seleccion - cota  ,"Se buscan personas que trabajen con pasión, dinámicos que nos ayuden a consolidar los objetivos  de nuestros aliados estratégicos.  Únete a esta maravillosa labor y haz parte de un equipo de personas altamente comprometidas",                                jefe de seleccion                            
    Auxiliar de odontología  ,"Se requiere auxiliar de odontología para laborar en Entidad de salud en la Ciudad de Girardot. Indispensable tener la documentación al día, estar inscrita en el rethus y disponibilidad inmediata.  Salario: 920.000",                                auxiliar de odontología                            
    Analista logistica  ,"Ser el responsable del inventario del canal ecommerce, cumpiendo satisfactoriamente cada uno de los requerimientos que se generen en la area, (ingresos y salidas de mercancia, entrega a la transportadora de los despachos diarios de la forma adecuada, analisis para la reposicion del producto de salida), responsable de facturar cada uno de los pedidos que lleguen al ecommece teniendo en cuenta pagianas web propias y marketplaces        ",                                LOGISTICA                            
    Auxiliar servicios generales - bogotá  ,"Audifarma require para su equipo de trabajo bachiller académico, con experiencia de seis meses en aseo, limpieza y cafetería.",                                servicios generales                            
    Medico veterinario chia  ,"Importante empresa del sector retail requiere para su equipo de trabajo Médico Veterinario profesional en Medicina Veterinaria, 2 años de experiencia en pequeños animales.",                                medico veterinario                            
    Gerente regional cali  ,"Empresa del sector Mobiliario  se encuentra en búsqueda del Gerente Comercial  entre sus funciones debe Asignar los leads calificados a los ejecutivos comerciales de su regional.  Entender y transmitir de forma efectiva el Modelo Comercial a su equipo de colaboradores.  Definir y cumplir el plan de ventas de la regional de manera mensual, trimestral y anual, de acuerdo con el método de ventas ",                                Mobiliario                            
    Auxiliar servicios lavado car center 6horas temporal pereira  ,"Asesorar y realizar el servicio de Lavado de Autos y sus complementarios a loefinidos por la compañía, el fin de satisfacer sus necesidades. ",                                Otra                            
    Auxiliar servicios alquiler de herramientas 8 horas pereira  ,Asesorar a los clientes que tengan la necesidad de alquilar una herramienta o maquinaria ,                                Otra                            
    Profesional senior cumplimiento normativo y ética  ,"En el Banco de Agrario de Colombia, nos encontramos en la búsqueda de un Profesional Senior de Cumplimiento Normativo y Ética, responsable de; Supervisar y evaluar de forma independiente la gestión que la Entidad hace respecto del cumplimiento normativo, sin perjuicio a aquellas tareas que deben realizar cada una de las áreas líderes de los procesos, para garantizar el cumplimiento de las leyes vigentes aplicables al desarrollo de su objeto social, evitando que se materialicen riesgos por posibles incumplimientos de normatividad. Esta función no sustituye la función de la auditoría interna y la revisoría fiscal. ",                                normatividad y ética                            
    Auxiliar de contabilidad  ,"COMPAÑIA REQUIERE AUXILIAR CONTABLE, MUJER JOVEN, CON CONOCIMIENTOS GENERALES EN CONTABILIDAD Y SISTEMAS, E INVENTARIOS, DISPONIBILIDAD INMEDIATA.        ",                                auxiliar                            
    Coordinador financiero y contable -  1 mes - sede girardot  ,"Para cubrimiento de cargo por 30 días, se requiere contador titulado o estudiante de últimos semestres en Contaduria para laborar de lunes a viernes de 7:00 am a 5:30 pm.  indispensable contar con experiencia en contabilización de cuentas, manejo de proveedores, excel intermedio.",                                Coordinador Fiananciero y/ o contable                            
    Líder de calidad ropa interior femenina 1626204173.5  ,Empresa dedicada a la manufactura  requiere para su equipo de trabajo  líder de calidad con experiencia mínima de 2 años en calidad de ropa. ,                                Otra                            
    Auxiliar de odontología  ,"Se requiere auxiliar de odontología para laborar en Entidad de salud en la Ciudad de Girardot. Indispensable tener la documentación al día, estar inscrita en el rethus y disponibilidad inmediata.  Salario: 920.000",                                auxiliar de odontología                            
    Enfermero(a) jefe auditor(a) girardot  ,Importante empres del sector salud (IPA) requiere Enfermera Jefe auditora para el área de glosas.  Indispensable contar con experiencia certificada.,                                Enfermera Jefe Auditora                            
    Auxiliar financiero girardot  ,"Para IPS del sector salud, se requiere Auxiliar financiero para área de cartera y facturación.  Indispnsable tener conocimientos en Manuales ISS, SOAT, además de manejo intermedio o avnazado de excel y disponibilidad inmediata.",                                auxiliar Financiero                            
    Analista de aseguramiento de calidad  ,"En Eurofarma promovemos la igualdad de género, el balance laboral, familiar y personal e incentivamos las inclusión de personas con capacidades diferentes o grupos étnicos al mundo laboral.",                                químico farmacéutico                            
    Negociador de compras - con experiencia en sector construcción  ,"¿Quieres ser parte de una compañía con responsabilidad social, visión estratégica y atributos culturales que te llevarán a un crecimiento constante y a desarrollar habilidades como profesional?",                                logistica                            
    Auxiliar de odontología girardot  ,"Se requiere auxiliar de odontología para laborar en Entidad de salud en la Ciudad de Girardot. Indispensable tener la documentación al día, estar inscrita en el rethus y disponibilidad inmediata.  Salario: 920.000",                                auxiliar de odontología                            
    Analista de datos  ,"Estamos en busqueda de analista de datos, tecnologo o estudiante de ultimos semestres de ingenierio inductrial.",                                analistas                            
    Supervisor ssta  ,¡En ISES te estamos buscando!,                                profesional sst                            
    Psicologo (a) clinica - sede girardot  ,Para Clinica ubicada en la Ciudad de Girardot se requiere Psicologo Clinica .  Indispensable contar con todos los soportes y cursos de normatividad 3100.,                                Psicologo Clinico                            
    Profesional administrativo y de gestion humana  ,"Head-hunter Comfenalco Antioquia, acompaña a reconocida empresa del sector turismo - hotelero en Oriente Antiqueño, en la búsqueda de un profesional en áreas administrativas, psicología o talento humanos, con experiencia mínimo de 2 años en facturación, costos, cartera, proveedores, conocimiento básico en contabilidad, procesos administrativos y de gestión humana.",                                administracion                            
    Gerente de ventas  ,"En e-hunters Colombia estamos buscando Gerente de Ventas para importante compañía del sector odontológico. Cortex Dental, es una empresa multinacional Israelí, líder mundial en tecnología dental que ofrece a dentistas de todo el mundo soluciones innovadoras en implantología.",                                Implantes                            
    Cajero inkanta bogota  ,"Estibol S.A.S, empresa líder en comercialización de artículos de diseño y marcas de lujo, se encuentra en la búsqueda de personal interesado en trabajar en el área comercial en nuestras tiendas de Inkanta  en la ciudad de Bogota.  Requisito indispensable que sean personas dinámicas, proactivas, orientadas al logro, con excelente presentación personal, disponibilidad inmediata y posibilidad de trabajar tiempo completo. Contratación directa por la compañía con contrato a término indefinido, salario básico + variable y un excelente clima organizacional        ",                                marcas de lujo                            
    Vendedor (a) tat con moto  ,"Reconocida multinacional de alimentos multinacional de alimentos requiere bachiller con moto, experiencia laboral como asesor tat o preventista de ruta, para la ciudad de Bogotá debe contar con mínimo 1 año de experiencia certificada en el cargo, experiencia en alimentos, vendedor TAT, consumo masivo, importante que cuente con moto y papeles al día además de una excelente actitud comercial y pasión por las ventas ",                                ventas                            
    Consultor sap qm senior  ,Consultor SAP QM Senior,                                consultor                            
    Sharepoint developer bilingüe  ,Somos una empresa con más de 20 años de presencia en el mercado en la cuál tenemos presencia en más de 11 países contando con más de 2.500 colaboradores ¡Cada vez somos más Babel!,                                ingeniero                            
    Cajero 6 horas pereira  ,Realizar los procesos y procedimientos de cajas definidos por la compañía ,                                Otra                            
    Analista de seleccion - cota  ,"Se buscan personas que trabajen con pasión, dinámicos que nos ayuden a consolidar los objetivos  de nuestros aliados estratégicos.  Únete a esta maravillosa labor y haz parte de un equipo de personas altamente comprometidas",                                jefe de seleccion                            
    Practicante universitario mercadeo  ,"¿Estás en búsqueda de prácticas? ¡Este es el lugar! Si eres estudiante de últimos semestres de mercadeo, tienes aval de tu universidad, estas interesado en ser parte de nuestro equipo de mercadeo.  Conocerás y aprenderás de procesos de desarrollo de estrategias de comunicación a través de redes sociales, generación de contenido, relacionamiento con agencia creativa, apoyo en la generación de comunicación para eventos puntuales con aliados, con el fin de promover la venta mes a mes y apoyo en comunicaciones internas.",                                Practica                            
    Auxiliar de enfermeria - girardot  ,"Para las diferentes áreas  Hospitalarias estamos en busqueda de auxiliares de enfermeria que cuenten con experiencia certificada, disponibilidad de turnos rotativos y doccuemntación requerida de acuerdo a la Resolución 3100.",                                auxiliar de enfermeria                            
    Ejecutivo comercial salud - soacha  ,"Importante empresa del sector salud requiere para su equipo de trabajo EJECUTIVO COMERCIAL, para aplicar debes cumplir con los siguientes requisitos: ",                                CRM                            
    Ingeniero de datos  ,Nos encontramos en la búsqueda de un Ingeniero de datos. Lo que necesitas para ocupar este cargo:,                                Ingenieria de datos                            
    Gestor de prestaciones economicas  ,Importante EPS requiere técnico en carreras administrativas o comerciales con experiencia mínima de 1 año en atención al usuario en el sector salud.        ,                                gestor                            
    Pm marketing & retail bbc  ,Propósito del puesto: ,                                Retail                            
    Ejecutivo comercial salud - guaduas  ,"Importante empresa del sector salud requiere para su equipo de trabajo EJECUTIVO COMERCIAL, para aplicar debes cumplir con los siguientes requisitos: ",                                CRM                            
    Asesor comercial  ,"Importante Institución de Educación superior requiere Asesor Comercial, quien deberá realizar negociaciones comerciales con los clientes/empresas que permitan fidelizar aliados, logrando el desarrollo de estrategias que garanticen el cumplimiento de los objetivos de venta, participación de mercado y rentabilidades establecidas por las directrices comerciales de la Institución.",                                comercial                            
    Operador seguridad fisica  ,"Requerimos estudiantes universitarios carreras afines a seguridad o técnicos que cuenten con curso de operador de medios tecnológicos vigente,  con experiencia mínima de 3 años en inspección, monitoreo de seguridad,  CCTV, seguimiento de cámaras, experiencia en procesos preventivos de seguridad como en centros comerciales, aeropuerto y el área de logística. ",                                operador de seguridad                            
    Aprendiz en formación administrativo y/o financiera  ,"¿Estás en búsqueda de prácticas? ¡Este es el lugar! Conocerás y aprenderás de procesos del área administrativa (seguimiento a proveedores, gestión de novedades, generación y control de órdenes de compra y archivo digital).",                                Aprendiz                            
    Abogado comercial medellín  ,"Empresa del sector retail busca profesional responsable por contribuir a la implementación de una estrategia legal que se alinee con los objetivos comerciales de la empresa y con la visión corporativa de la empresa en Antioquía. Tendrá que apoyar  especialmente a las áreas de expansión y operaciones, en las aperturas y operación diaria de las tiendas.",                                Medellin                            
    Coordinador comercial  ,"Importante empresa del sector Automotriz se encuentra en busca de Coordinador Comercial el cual deberá realizar, el seguimiento a indicadores propuestos del equipo comercial enfocados en el cumplimiento presupuestal establecido. Liderar comercial y estratégicamente al equipo, acompañamiento en implementación de estrategias y solución de problemas.        ",                                Coordinador Comercial                            
    Asesor pedagógico  ,"Importante Institución de Educación superior, busca para su equipo de trabajo Asesor Pedagógico para la  Dirección de Educación Virtual:",                                asesor pedagógico                            
    Auxiliar de audiovisuales  ,"La Universidad de La Salle requiere para su equipo de trabajo un Auxiliar de Audiovisuales, debe ser Bachiller o técnico en Producción audiovisual o carreas a fines, con experiencia mínima de 1 año en manejo equipos audiovisuales, manejo de inventario y custodia de equipos. ",                                audiovisual                            
    Aprendiz en diseño grafico  ,Prestigiosa Corporación para el desarrollo de seguridad Social requiere para su equipo de trabajo Estudiantes de Técnico o tecnólogo en Diseño o carreras a fines para realizar  su etapa practica IMPORTANTE NO haber tenido contrato de aprendizaje y contar con el aval para iniciar ,                                diseño                            
    Auxiliar enfermeria tulua  ,"Ips de tercer nivel de la ciudad de TULUA, solicita auxiliar de enfermería, con experiencia mínima de seis y diplomado en el area, con curso en toma de citologia. Con habilidades como  atención al detalle, gestión de resultados, proactiva(o).",                                auxiliar                            
    Analista de costos  ,"Persona encargada de mantener el correcto funcionamiento del sistema de costos e inventarios realizando análisis de transacciones, auditorias de integridad de información, contabilizando ordenes de producción y prestando apoyo a las diversas áreas en todo lo concerniente con estas mismas, para así conocer el estado de los costos reales de la compañía. Experiencia en área de costos en empresas manufactureras        ",                                Profesional en costos                            
    Asesor call center cobranzas  ,"¿Buscas estabilidad laboral, beneficios, convenios con diferentes empresas?",                                SERVICIO AL CL                            
     analista desarrollo de herramientas   ,"Cueros Vélez S.A.S, empresa líder en el mercado de manufactura en el sector del cuero requiere para su equipo de trabajo Analista",                                Otra                            
    Ingeniero quimico especialista contrato ops  ,"Eps ubicada en la ciudad de Bogotá se encuentra en la búsqueda de químico farmacéuta especialista, con experiencia de 4 años en farmacovigilancia, manejo de políticas de medicamentos, políticas de aseguramiento preferiblemente en EPS.",                                Químico farmaceuta                            
    Asesor comercial - bogotá  ,"¡Tenemos un lugar para ti! Si eres una persona apasionada por los resultados, disfrutas servir a las personas y tienes amplias habilidades comerciales, serás el responsable de la atención y venta especializada, velando por la satisfacción de los clientes, comercialización de los productos y el cumplimiento mensual del presupuesto en la venta de nuestros productos y medios de financiación.",                                comerciales                            
    Asesor comercial senior - bogotá  ,"¡En Tugo tenemos un lugar para ti! Serás el responsable de generar una experiencia en servicio especializado a nuestros clientes corporativos, ayudando a construir proyectos, bajarlo a la realidad con un estilo grandioso para oficina, hotelería, comidas, ambientes de espera, auditorios, etc. ",                                ventas                            
    Profesional contable bta  ,"Empresa dedicada a la gestión integral de proyectos de construcción, se encuentra en la búsqueda de PROFESIONAL CONTABLE para labor de 24 meses aproximadamente en la ciudad de Bogotá.",                                impuestos                            
    Gestor de herramientas multinube - servicenow  ,En este rol serás responsable de: ,                                ServiceNow                            
    Enfermera jefe / especialista en sst  ,"Prestigiosa corporación para el desarrollo de seguridad social se encuentra en búsqueda de  Enfermera Jefe con especialización SST con 3 años de experiencia en asesorías y capacitación de Promoción Y Prevención  en SST, elaboración y actualización matrices de peligros, planes de Emergencia, inspecciones, seguimiento de casos, sistema de vigilancia epidemiológica, estrategias de prevención e intervención de riesgos, entre otras funciones relacionadas al cargo ",                                ASESORIA                            
"    Especialista arquitectura multinube diseño, implementación y devops  ",Descripción:,                                Cloud                            
    Profesional de tesorería nacional e internacional  ,"Estamos buscando a nuestro próximo  profesional de tesorería. Sí eres profesional en administración de empresas, o carreras afines al proceso de tesorería, tienes experiencia en tesorería nacional e internacional (régimen cambiario) y eres apasionado, recursivo y orientado al logro, esta oportunidad puede ser para ti.",                                tesorería                            
    Empacador 6 horas pereira  ,"Apoyar al área de cajas, en la ejecución de los procesos de búsqueda y traslado de productos, verificación de códigos, precios, empaque ",                                Otra                            
    Docente tiempo completo licenciatura lengua extranjera  ,"Reconocida institución de educación superior requiere Docente con título universitario en Licenciatura en lenguas modernas,  Licenciatura en Filología e Idiomas Inglés o Licenciatura afines a enseñanza de lenguas.  preferiblemente con posgrado (maestría) en lingüística o lingüística aplicada (afines) o didáctica para la enseñanza del inglés, Con doctorado en curso en áreas de la educación.  Preferiblemente con experiencia en educación básica y/o media (5 años); Experiencia en manejo de plataformas Moodle (3 años); experiencia en docencia universitaria y/o enseñanza de inglés para adultos (4 años). Producción Académica relacionada con el campo disciplinar. Experiencia en la coordinación de programas académicos. De igual manera,  que cuente con experiencia en Gestión de funciones sustantivas (Docencia, Investigación y Responsabilidad Social Universitaria); Diseño y desarrollo de contenido de espacios académicos de enseñanza del inglés como lengua extranjera; Acompañamiento de procesos académicos en educación abierta y a distancia, y/o virtual; Aplicación de TIC y TAC y desarrollo de contenido en el ámbito educativo. Experiencia en procesos de calidad de la educación universitaria.",                                docente                            
    Bilingual sales consultant  ,"We are seeking for new Travel Agents to help English speaking travers make their trip arrangement. At Dyninno Colombia we are looking for people who love helping others, are persistent, empathetic, kind, and curious. We sell about 50,000 air-tickets per month globally and build the exquisite customer service.  ",                                agente                            
    Ejecutivo de ventas - experiencia en sector farmacia bogotá  ,"¿Buscas ser parte de una cultura de alto desempeño, comprometida con lo social? Si es así, te invitamos a participar en nuestra convocatoria. ",                                supervisor                            
    Auxiliar de cartera  ,"Reconocido laboratorio óptico con presencia a nivel nacional. Se encuentra en la búsqueda de Técnico y/o tecnólogo en Contabilidad, Finanzas o carreras afines con experiencia mínima de 6 meses en cobros de cartera vencida telefónicamente, importante que cuente con conocimientos: Gestión de cartera, herramientas ofimáticas, paquete de office (Word, Excel), preferiblemente en el sector de salud. Funciones: Recuperación telefónica de cartera vencida, asesoría a clientes sobre los estados de las obligaciones adquiridas en la empresa, control de clientes en base de datos y elaboración de cartas de cobro a los clientes. ",                                cartera                            
    Jefes de enfermeria popayan  ,"Ips de tercer nivel en la ciudad de Popayan, requiere enfermeros jefes con conocimientos en manejo y cuidado de pacientes para los servicios de hospitalizacion, urgencias, y Uci . Cumplimiento de protocolos establecidos en la Institución. Liderazgo positivo en manejo de personal a cargo, alto sentido de responsabilidad y humanización. Turnos rotativos. Documentos al dia ( Soporte vital vigente, rethus, tarjeta profesional, diplomado en cuidado intensivo adulto)",                                enfermero                            
    Director nacional almacen e inventarios  ,"""Importante Empresa del Sector de la Construcción requiere para su equipo de trabajo Profesional en Áreas Administrativas para desempeñar el Cargo de Director Nacional de  Almacén, inventarios, logística, abastecimiento, debe ser una persona  responsable, dinámica, proactiva, liderazgo. Debe contar  con mínimo 6 años de experiencia en el área de Almacén.  INDISPENSABLE  en el Sector Construcción y manejar el sistema Sinco.",                                Almacén                            
    Gestor de contenidos  ,¡Buscamos al mejor Talento! ,                                marca                            
    Auxiliar contable manejo siesa  ,"Empresa del sector quirúrgico y farmacéutico , se encuentra en la búsqueda de un auxiliar contable con experiencia en el manejo de siesa, facturación, debe realizar la conciliación mensual de bancos, registrar y causar la nómina mensual de los empleados, analizar los documentos financieros .",                                asistentes                            
    Recepcionista  bogotá  ,"Reconocida empresa de consumo masivo busca tecnóloga  en Asistencia Administrativa con experiencia mínima de 2 años para manejar las siguientes funciones: Trámite de compra de tiquetes por agencia, seguimiento y cierre de los mismos,  mantener actualizada la agenda de teléfonos de Outlook y las extensiones del personal, realizar las llamadas telefónicas solicitadas, atención del conmutador, manejo de correspondencia, control y seguimiento a facturas.",                                secretaria                            
    Auxiliar enfermeria uci adultos - neiva  ,"Clínica Medilaser S.A.S requiere para su equipo AUXILIAR DE ENFERMERIA para laborar en la ciudad de NEIVA, que cuenta con experiencia certificada en UCI ADULTOS en el sector de salud de mediana y alto nivel de complejidad, para una PLAZA TEMPORAL que cuente con Diplomado Uci Adultos ,que cumpla con los requisitos exigidos por el ministerio de salud según resolución 3100 de 2019, con vocación de servicio, compromiso con la excelencia y altas competencias en calidez humana, comunicación asertiva, trabajo en equipo, liderazgo y actitud de servicio. ",                                AUXILIAR ENFERMERIA UCI ADULTOS TUNJA                            
    Guillotinero/a  1626069419.31  ,Empresa comercial de imprenta requiere para su equipo de trabajo Guillotinero/a con 3 años de experiencia en el área en empresas de impresión.,                                Otra                            
    Permits manager  ,"Multinacional de telecomunicaciones está en búsqueda de un Abogado, Ingeniero Industrial o Ingeniero Civil que cuente con experiencia de 5 años en la gestión de permisos para la instalación de redes GPON en conjuntos residenciales, empresas gubernamentales, universidades u otros lugares donde el proyecto lo requiera. ",                                abogado                            
    Analista contable - bogotá  ,Importante empresa del sector se encuentra en búsqueda de una persona para la vacante de Analista contable para la ciudad de Bogotá.,                                contable                            
    Profesional desarollo empresarial (consultor o capacitador)  ,"Si te apasiona la consultoría de empresas buscando la asesoría de capacitación  y desarrollo en su talento humano, ¡esta oferta es para ti! Estamos buscando profesionales de carreras administrativas  tales como comunicadores sociales, antropólogos, diseñadores, administradores de empresas, mercadeo o afines con experiencia de 1 año realizando funciones de ejecutar, gestionar y brindar asesoría a las empresas en programas de capacitación y formación enfocados a los colaboradores. Te ofrecemos salario de $ 4'377.000+ prestaciones. Contrato a término fijo con la compañía. Horario de 48hr semanales. ¡Postúlate y anímate a ser parte de la Generación C!        ",                                Asesor                            
    Practicante ingeniería ambiental  ,¡Te queremos en nuestro equipo!,                                Ingeniería Ambiental                            
    Aprendiz universitario sst  ,"Excelente oportunidad de crecimiento para tus practicas en Importante empresa del Transporte Masivo de Bogotá ubicada en Fontibón, requiere para su equipo de trabajo, aprendiz universitario en SST, Psicología, o Administración de Empresas o afines para hacer sus practicas en el programas de Profesionales Talento Humano, SST, Labores Administrativas o áreas AFINES. ",                                aprendiz                            
    Cajera empresa de servicios - posicion estable - medellín  ,Importante empresa de servicios requiere Cajeras  con Titulo Bachiller y 1 año de experiencia en manejo de dinero y servicio al cliente para posición estable en BOGOTÁ NORTE. ,                                cajera                            
    Coordinador de seguridad zonal  ,"Estamos en la búsqueda de un profesional, técnico o tecnólogo en Carreras Administrativa, Logísticas, conocimiento en sistema(word, excel), con conocimientos en investigaciones, análisis y evaluación de Riesgos, manejo de crisis, estudios de seguridad a instalaciones y personas, control de inventarios y activos, control de perdidas, campañas de sensibilización de empleados, auditorias en seguridad, Norma BASC y Calidad. Deseable mas de dos años de experiencia liderando personal para desempeñarse  como Coordinador de Seguridad.        ",                                coordinador                            
    Vendedor de mostrador monteria  ,Importante empresa de alimento en la ciudad de MONTERIA requiere vendedora de Punto de Venta ,                                VENDEDOR MOSTRADOR                            
    Analista de compras  ,"En Movet estamos buscando un analista de compras, el cual tiene como misión principal realizar las compras  de los pedidos de suministros médicos, equipos, medicamentos, productos de petshop, según las necesidades de la empresa.        ",                                compras                            
    Coordinador/a comercial con moto 1626160601.12  ,"Coordinador/a comercial con experiencia mínima de 1 año  en el cargo, reclutando y liderando grupos de ventas mayores a 20 personas ",                                Otra                            
    Asesor de viajes  ,"Una de las agencias más grandes de Colombia, fundada el 3 de septiembre de 1983 , con franquicia de American Express y agencia de viajes de la Caja de Compensación Familiar Cafam, está en búsqueda de Asesores de Viajes.",                                Asesor de viajes                            
    Ejecutivo comercial rionegro o zona de oriente antioquia  ,"Se requiere  Ejecutivo Comercial que resida en Rionegro o zona de oriente Antioquia, tecnólogo y/o profesional en carreras como  Arquitectura,  administrador de empresas, o tecnólogo de la construcción.   Con experiencia mayor a dos años en el área comercial, manejando clientes del sector constructor (preferible),  indispensable moto o vehículo. Habilidades de aptitud verbal, relaciones interpersonales, habilidad comercial, planeación y organización, orientación al logro. Salario $1.400.000 -$3.000.000 (básico + comisiones)        ",                                Ejecutivo comercial                            
    Docente de cátedra - fundamentos de administración  y responsabilidad empresarial  ,Educación,                                Fundamentos de administración                            
    Cajera empresa de servicios - posicion estable - medellín  ,¡No te pierdas esta oportunidad!,                                cajera                            
    Coordinador de empaque  ,Laboratorio requiere Ingeniero Industrial para desempeñar el cargo de Coordinador de Empaque  con experiencia mínima de 4 años en el sector Farmacéutico. ,                                coordinador                            
    Médico general - centro médico santa librada con ruta.  ,Si quieres ser parte de una de las compañías más innovadoras y quieres transformar positivamente la vida de las personas. ¡Esta Oportunidad es para Ti! Estamos en búsqueda de   Médico general para servicio de consulta externa.,                                Medico general consulta externa                            
    Desarrollador python  ,"Laboratorio requiere ingeniero de sistemas, ingeniero electrónico, con mínimo 3 años de experiencia certificada como ingeniero  desarrollador de software, conocimientos de  lenguajes de codificación. con capacidad para desarrollar en visual Basic, Python, ASP, NET, MVC, JQUERY, JAVASCRIPT, u otros lenguajes de programación.",                                INGENIERO                            
"    Consultor de proyectos, innovación  ",Importante firma consultora busca profesional con nivel de inglés desde B2 y experiencia en consultoría empresarial,                                Emprendimiento                            
    Ingeniero comercial  ,¡Esta es tu gran oportunidad!,                                ingenieros                            
    Asistente de facturación - agencia de viajes  ,"Una de las agencias más grandes de Colombia, fundada el 3 de septiembre de 1983 , con franquicia de American Express y agencia de viajes de la Caja de Compensación Familiar Cafam, esta en busca de Asistentes de Facturación.",                                facturador                            
    Homologation engineer (professional b)  ,Responsibilities:,                                ingeniero                            
    Practicante universitario psicologia / contrato aprendizaje  ,¿Qué requerimos?,                                recursos humanos                            
    Asistente administrativo regional - amazonas  ,"Garantizar el cumplimiento de las políticas y procedimientos establecidos en los procesos administrativos y contables; asegurando la oportunidad, calidad y confiabilidad de la información del proyecto en Amazonas.",                                Procesos Administrativos                            
    Analista infraestructura - acuario  ,"Buscamos técnicos en cuidado animal, técnico en acuicultura, auxiliar en veterinaria con experiencia en el manejo de peces o técnico agropecuario. Para realizar la limpieza de los acuarios y soportes de vida de los mismos y realizar la alimentación de los animales del acuario. Mínimo de experiencia un año en cuidado animal.        ",                                áreas del acuario                            
    Analista fisicoquímico junior  ,"Reconocido Laboratorio farmacéutico ubicado en Cota, requiere profesional o tecnólogo en química o carreras afines  para el cargo de analista fisicoquímico junior, debe tener experiencia mínima de 1 año en análisis fisicoquímico de laboratorio, control de calidad y medicamentos, conocimiento en BPM, manejo de equipo de laboratorios de control de calidad de medicamentos, espectrometría, cromatografía entre otros.        ",                                química                            
    Practica comunicación social / mercado / publicidad  ,¡Te queremos en nuestro equipo!,                                aprendices                            
    Director de proyectos  de inversion y credito  ,"Para entidad Financiera se busca profesional Senior con más de 8 años de experiencia comprobada liderando procesos análisis y viabilidad de proyectos de inversión, Crédito, Banca Inversión, Evaluaciones Financieras, Estructuraciones de Modelos y Proyectos financieros. ",                                PROYECTOS                            
    Ejecutivo de cuenta seguros - cali  ,Compañía de Seguros se encuentra en búsqueda de Ejecutivo de Operativo en seguros para su equipo de trabajo.,                                SEGUROS                            
    Analista de registro  ,"Institución de educación superior requiere para su equipo de trabajo  Analista de Registro, Deberá ser estudiante de últimos  semestres en adelante de carreras administrativas o ingenierías afines. Con conocimientos en Excel intermedio, deseable conocimiento de sistemas BANNER y SAP. La persona en esta cargo deberá  tener experiencia mínima de un año en labores administrativas, preferiblemente en universidades.",                                analistas                            
    Facturador  ,"Agente de carga internacional, se encuentra en búsqueda de un auxiliar de facturación,  tecnólogo o profesional en comercio exterior, contabilidad o afines, que cuente con 2 años de experiencia en empresas similares, realizando funciones de gestión documental de comercio exterior, manejo de correspondencia, facturación de procesos logísticos y aduaneros, atención al cliente, adicional debe contar con buena actitud de servicio, ser una persona proactiva, colaboradora, recursiva y diligente        ",                                facturador                            
